description,title,url,price,retailer_sku_code,instock,current_price,promo_data
"Produce of China <br/>
Old Garlic  <br/>
中国老蒜 <br/>
<small><span style= ""color: gray""> 250G </span></small>",CHN Old Garlic 250G,https://a4ucontent.blob.core.windows.net/images/0008660_0.png,1.85,33427,,1.85,
"Produce of China/Malaysia/Vietnam <br/>
Green Capsicum <br/>
中国/金马伦/越南 青灯笼椒 <br/>
<small><span style= ""color: gray""> 1 piece at 200-250G </span></small>",CHN/MYS/VNM Green Capsicum 1s (200-250G),https://a4ucontent.blob.core.windows.net/images/0011126_0.png,1.1,116775,,1.1,
"Produce of India <br/>
Lady Finger (Okra) <br/>
印度羊角豆<br/>
<small><span style= ""color: gray""> 230G </span></small>",IND Lady Fingers (Okra) 230G,https://a4ucontent.blob.core.windows.net/images/0021506_0.png,1.95,116140,,1.95,
"Produce of Mexico </br>
Asparagus (bundle)<br/>
墨西哥芦笋 <br/>
<small><span style= ""color: gray""> approximately 450G </span></small>",MEX Asparagus (1 bundle),https://a4ucontent.blob.core.windows.net/images/0022323_0.png,6.0,120141,,6.0,2 for $11.80
"Produce of Australia <br/>
Slice Pumpkin <br/>
澳洲金瓜 （切块）<br/>",AUS Pumpkin (Slice) (400-450G),https://a4ucontent.blob.core.windows.net/images/0011152_0.png,2.05,116801,,2.05,
"Produce of Malaysia <br/>
Butterhead Lettuce <br/>
金马伦奶油生菜 <br/>
<small><span style= ""color: gray""> 230G </span></small><br/><br/>
<small> Butterhead lettuce has a  delicate flavour. This vegetable needs to get treated carefully as it gets bruised easily. Good for salads. Store in bag and keep refrigerated. <small>",MYS Butterhead Lettuce 230G,https://a4ucontent.blob.core.windows.net/images/0005882_0.png,2.6,33489,,2.6,
"Produce of Indonesia <br/>
Petai Beans <br/>
印尼臭豆  <br/>
<small><span style= ""color: gray""> 200G </span></small>",IDN Petai 200G,https://a4ucontent.blob.core.windows.net/images/0017572_0.png,4.2,33529,,4.2,
"Produce of Malaysia <br/>
Sweet Corn <br/>
马来西亚玉米",MYS Y/K Sweet Corn 2s,https://a4ucontent.blob.core.windows.net/images/0011209_0.png,1.3,32790,,1.3,
"Produce of Malaysia/Vietnam <br/>
Tomato <br/>
金马伦/越南蕃茄 <br/>
<span style= ""color: gray; font-style:italic""> Excellent source Vitamin C </span>",MYS/VNM Tomato (5-7s) (500-600G),https://a4ucontent.blob.core.windows.net/images/0007675_0.png,1.2,115564,,1.2,
"Produce of China <br/>
中国西兰花 <br/>
<span style= ""color: gray; font-style:italic""> Excellent source of Vitamins A and C </span>",CHN Broccoli 1s (250-300G),https://a4ucontent.blob.core.windows.net/images/0048057_0.png,2.5,115563,,2.5,
